               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.042792,            0.035295,           0.0053701,             0.80374,             0.67101,             0.71917,              0.3464,            0.049869,            0.038736,           0.0069467,            0.007228,            0.007228,            0.007228
                  86,            0.042178,            0.035598,           0.0051882,             0.80009,             0.67446,             0.71978,             0.34083,            0.049969,            0.037862,           0.0073168,            0.007195,            0.007195,            0.007195
                  87,            0.042768,            0.037387,           0.0053787,             0.81694,             0.67282,             0.73321,             0.35087,            0.050198,            0.038487,           0.0072788,            0.007162,            0.007162,            0.007162
                  88,            0.042312,            0.034756,           0.0053608,             0.79368,             0.68379,             0.73205,             0.35177,            0.049981,            0.038538,           0.0071329,            0.007129,            0.007129,            0.007129
                  89,            0.042356,            0.035194,           0.0052192,             0.77386,              0.6699,             0.71636,             0.34644,            0.050584,            0.037767,           0.0074171,            0.007096,            0.007096,            0.007096
                  90,            0.041662,            0.035236,           0.0051864,             0.79581,             0.67762,             0.72522,             0.34253,            0.050228,            0.039126,           0.0071084,            0.007063,            0.007063,            0.007063
                  91,            0.041165,            0.034595,           0.0052405,             0.77447,             0.68793,             0.71926,             0.34559,            0.049777,            0.037683,           0.0068336,             0.00703,             0.00703,             0.00703
                  92,            0.041506,            0.034681,           0.0048475,             0.78878,             0.70339,              0.7252,             0.35049,            0.049907,            0.037347,           0.0070854,            0.006997,            0.006997,            0.006997
                  93,            0.042015,            0.034792,           0.0051365,             0.79867,             0.68878,             0.72244,             0.35125,            0.049879,            0.037707,           0.0068734,            0.006964,            0.006964,            0.006964
                  94,            0.041648,             0.03606,           0.0051753,             0.78888,             0.68742,             0.72038,             0.35124,            0.050165,            0.038348,           0.0068995,            0.006931,            0.006931,            0.006931
                  95,            0.041332,            0.034583,            0.005025,             0.81473,             0.68931,             0.73426,             0.35208,            0.050572,            0.039206,           0.0070066,            0.006898,            0.006898,            0.006898
                  96,             0.04205,            0.037287,           0.0051569,             0.78221,             0.70521,              0.7342,             0.35538,            0.049516,            0.036533,            0.006882,            0.006865,            0.006865,            0.006865
                  97,            0.040831,            0.033929,           0.0047282,             0.79178,             0.68358,             0.72659,             0.35055,            0.050162,            0.038914,           0.0067655,            0.006832,            0.006832,            0.006832
                  98,            0.041487,            0.035543,           0.0048936,             0.80778,             0.68943,             0.73238,              0.3549,            0.049913,            0.037782,           0.0069049,            0.006799,            0.006799,            0.006799
                  99,            0.040653,            0.033811,            0.005104,              0.7893,              0.6947,             0.72392,             0.34679,            0.050545,            0.038059,           0.0071295,            0.006766,            0.006766,            0.006766
                 100,            0.041319,            0.036306,           0.0051097,             0.81158,             0.67597,             0.73177,             0.34888,             0.05043,            0.037996,            0.006868,            0.006733,            0.006733,            0.006733
